CustomerKey,FirstName,LastName,City,StateAbbrev,Province,Country,Continent
11000,Jon,Yang,Rockhampton,QLD,Queensland,Australia,Pacific
11001,Eugene,Huang,Seaford,VIC,Victoria,Australia,Pacific
11002,Ruben,Torres,Hobart,TAS,Tasmania,Australia,Pacific
11003,Christy,Zhu,North Ryde,NSW,New South Wales,Australia,Pacific
11004,Elizabeth,Johnson,Wollongong,NSW,New South Wales,Australia,Pacific
11005,Julio,Ruiz,East Brisbane,QLD,Queensland,Australia,Pacific
11006,Janet,Alvarez,Matraville,NSW,New South Wales,Australia,Pacific
11007,Marco,Mehta,Warrnambool,VIC,Victoria,Australia,Pacific
11008,Rob,Verhoff,Bendigo,VIC,Victoria,Australia,Pacific
11009,Shannon,Carlson,Hervey Bay,QLD,Queensland,Australia,Pacific
11010,Jacquelyn,Suarez,East Brisbane,QLD,Queensland,Australia,Pacific
11011,Curtis,Lu,East Brisbane,QLD,Queensland,Australia,Pacific
11012,Lauren,Walker,Bremerton,WA,Washington,United States,North America
11013,Ian,Jenkins,Lebanon,OR,Oregon,United States,North America
11014,Sydney,Bennett,Redmond,WA,Washington,United States,North America
11015,Chloe,Young,Burbank,CA,California,United States,North America
11016,Wyatt,Hill,Imperial Beach,CA,California,United States,North America
11017,Shannon,Wang,Sunbury,VIC,Victoria,Australia,Pacific
11018,Clarence,Rai,Bendigo,VIC,Victoria,Australia,Pacific
11019,Luke,Lal,Langley,BC,British Columbia,Canada,North America
11020,Jordan,King,Metchosin,BC,British Columbia,Canada,North America
11021,Destiny,Wilson,Beaverton,OR,Oregon,United States,North America
11022,Ethan,Zhang,Bellingham,WA,Washington,United States,North America
11023,Seth,Edwards,Bellflower,CA,California,United States,North America
11024,Russell,Xie,Concord,CA,California,United States,North America
11025,Alejandro,Beck,Hawthorne,QLD,Queensland,Australia,Pacific
11026,Harold,Sai,Goulburn,NSW,New South Wales,Australia,Pacific
11027,Jessie,Zhao,Warrnambool,VIC,Victoria,Australia,Pacific
11028,Jill,Jimenez,St. Leonards,NSW,New South Wales,Australia,Pacific
11029,Jimmy,Moreno,Bendigo,VIC,Victoria,Australia,Pacific
11030,Bethany,Yuan,Cloverdale,SA,South Australia,Australia,Pacific
11031,Theresa,Ramos,Matraville,NSW,New South Wales,Australia,Pacific
11032,Denise,Stone,Melbourne,VIC,Victoria,Australia,Pacific
11033,Jaime,Nath,Milsons Point,NSW,New South Wales,Australia,Pacific
11034,Ebony,Gonzalez,North Sydney,NSW,New South Wales,Australia,Pacific
11035,Wendy,Dominguez,Cranbourne,VIC,Victoria,Australia,Pacific
11036,Jennifer,Russell,National City,CA,California,United States,North America
11037,Chloe,Garcia,Cliffside,BC,British Columbia,Canada,North America
11038,Diana,Hernandez,Lavender Bay,NSW,New South Wales,Australia,Pacific
11039,Marc,Martin,Wollongong,NSW,New South Wales,Australia,Pacific
11040,Jesse,Murphy,Tacoma,WA,Washington,United States,North America
11041,Amanda,Carter,Glendale,CA,California,United States,North America
11042,Megan,Sanchez,Los Angeles,CA,California,United States,North America
11043,Nathan,Simmons,Glendale,CA,California,United States,North America
11044,Adam,Flores,Hervey Bay,QLD,Queensland,Australia,Pacific
11045,Leonard,Nara,Matraville,NSW,New South Wales,Australia,Pacific
11046,Christine,Yuan,Lavender Bay,NSW,New South Wales,Australia,Pacific
11047,Jaclyn,Lu,Geelong,VIC,Victoria,Australia,Pacific
11048,Jeremy,Powell,Sunbury,VIC,Victoria,Australia,Pacific
11049,Carol,Rai,Chula Vista,CA,California,United States,North America
11050,Alan,Zheng,Hobart,TAS,Tasmania,Australia,Pacific
11051,Daniel,Johnson,Caloundra,QLD,Queensland,Australia,Pacific
11052,Heidi,Lopez,Matraville,NSW,New South Wales,Australia,Pacific
11053,Ana,Price,San Diego,CA,California,United States,North America
11054,Deanna,Munoz,Geelong,VIC,Victoria,Australia,Pacific
11055,Gilbert,Raje,East Brisbane,QLD,Queensland,Australia,Pacific
11056,Michele,Nath,Newcastle,NSW,New South Wales,Australia,Pacific
11057,Carl,Andersen,Lane Cove,NSW,New South Wales,Australia,Pacific
11058,Marc,Diaz,Findon,SA,South Australia,Australia,Pacific
11059,Ashlee,Andersen,Townsville,QLD,Queensland,Australia,Pacific
11060,Jon,Zhou,Warrnambool,VIC,Victoria,Australia,Pacific
11061,Todd,Gao,Gold Coast,QLD,Queensland,Australia,Pacific
11062,Noah,Powell,Portland,OR,Oregon,United States,North America
11063,Angela,Murphy,Redmond,WA,Washington,United States,North America
11064,Chase,Reed,Downey,CA,California,United States,North America
11065,Jessica,Henderson,La Jolla,CA,California,United States,North America
11066,Grace,Butler,Lebanon,OR,Oregon,United States,North America
11067,Caleb,Carter,Port Orchard,WA,Washington,United States,North America
11068,Tiffany,Liang,Warrnambool,VIC,Victoria,Australia,Pacific
11069,Carolyn,Navarro,Gold Coast,QLD,Queensland,Australia,Pacific
11070,Willie,Raji,Sunbury,VIC,Victoria,Australia,Pacific
11071,Linda,Serrano,Hawthorne,QLD,Queensland,Australia,Pacific
11072,Casey,Luo,St. Leonards,NSW,New South Wales,Australia,Pacific
11073,Amy,Ye,Springwood,NSW,New South Wales,Australia,Pacific
11074,Levi,Arun,Cloverdale,SA,South Australia,Australia,Pacific
11075,Felicia,Jimenez,Bendigo,VIC,Victoria,Australia,Pacific
11076,Blake,Anderson,Wollongong,NSW,New South Wales,Australia,Pacific
11077,Leah,Ye,Melton,VIC,Victoria,Australia,Pacific
11078,Gina,Martin,Cliffside,BC,British Columbia,Canada,North America
11079,Donald,Gonzalez,Geelong,VIC,Victoria,Australia,Pacific
11080,Damien,Chander,Perth,SA,South Australia,Australia,Pacific
11081,Savannah,Baker,Concord,CA,California,United States,North America
11082,Angela,Butler,Fremont,CA,California,United States,North America
11083,Alyssa,Cox,Lincoln Acres,CA,California,United States,North America
11084,Lucas,Phillips,Lebanon,OR,Oregon,United States,North America
11085,Emily,Johnson,Newport Beach,CA,California,United States,North America
11086,Ryan,Brown,Santa Monica,CA,California,United States,North America
11087,Tamara,Liang,Chula Vista,CA,California,United States,North America
11088,Hunter,Davis,San Diego,CA,California,United States,North America
11089,Abigail,Price,Long Beach,CA,California,United States,North America
11090,Trevor,Bryant,Los Angeles,CA,California,United States,North America
11091,Dalton,Perez,Haney,BC,British Columbia,Canada,North America
11092,Cheryl,Diaz,East Brisbane,QLD,Queensland,Australia,Pacific
11093,Aimee,He,Wollongong,NSW,New South Wales,Australia,Pacific
11094,Cedric,Ma,Cranbourne,VIC,Victoria,Australia,Pacific
11095,Chad,Kumar,Port Macquarie,NSW,New South Wales,Australia,Pacific
11096,Andrés,Anand,North Sydney,NSW,New South Wales,Australia,Pacific
11097,Edwin,Nara,Warrnambool,VIC,Victoria,Australia,Pacific
11098,Mallory,Rubio,Rhodes,NSW,New South Wales,Australia,Pacific
11099,Adam,Ross,Port Macquarie,NSW,New South Wales,Australia,Pacific
11100,Latasha,Navarro,Cloverdale,SA,South Australia,Australia,Pacific
11101,Abby,Sai,Cranbourne,VIC,Victoria,Australia,Pacific
11102,Julia,Nelson,Sydney,NSW,New South Wales,Australia,Pacific
11103,Cassie,Chande,Darlinghurst,NSW,New South Wales,Australia,Pacific
11104,Edgar,Sara,Gold Coast,QLD,Queensland,Australia,Pacific
11105,Candace,Fernandez,Matraville,NSW,New South Wales,Australia,Pacific
11106,Jessie,Liu,Warrnambool,VIC,Victoria,Australia,Pacific
11107,Bianca,Lin,St. Leonards,NSW,New South Wales,Australia,Pacific
11108,Kari,Alvarez,Port Macquarie,NSW,New South Wales,Australia,Pacific
11109,Ruben,Kapoor,South Melbourne,VIC,Victoria,Australia,Pacific
11110,Curtis,Yang,Darlinghurst,NSW,New South Wales,Australia,Pacific
11111,Meredith,Gutierrez,Geelong,VIC,Victoria,Australia,Pacific
11112,Crystal,Wang,Hervey Bay,QLD,Queensland,Australia,Pacific
11113,Micheal,Blanco,Perth,SA,South Australia,Australia,Pacific
11114,Leslie,Moreno,Rhodes,NSW,New South Wales,Australia,Pacific
11115,Alvin,Cai,St. Leonards,NSW,New South Wales,Australia,Pacific
11116,Clinton,Carlson,Sydney,NSW,New South Wales,Australia,Pacific
11117,April,Deng,Matraville,NSW,New South Wales,Australia,Pacific
11118,Alvin,Zeng,Lavender Bay,NSW,New South Wales,Australia,Pacific
11119,Evan,James,Port Macquarie,NSW,New South Wales,Australia,Pacific
11120,Beth,Jiménez,Sydney,NSW,New South Wales,Australia,Pacific
11121,Orlando,Suarez,Newcastle,NSW,New South Wales,Australia,Pacific
11122,Byron,Vazquez,North Sydney,NSW,New South Wales,Australia,Pacific
11123,Philip,Alvarez,Sunbury,VIC,Victoria,Australia,Pacific
11124,Ross,Jordan,Warrnambool,VIC,Victoria,Australia,Pacific
11125,Dana,Navarro,Seaford,VIC,Victoria,Australia,Pacific
11126,Shaun,Carson,North Ryde,NSW,New South Wales,Australia,Pacific
11127,Jan,Edwards,San Gabriel,CA,California,United States,North America
11128,Samantha,Long,Renton,WA,Washington,United States,North America
11129,Julia,Wright,Sedro Woolley,WA,Washington,United States,North America
11130,Caroline,Russell,Lebanon,OR,Oregon,United States,North America
11131,Amanda,Rivera,Haney,BC,British Columbia,Canada,North America
11132,Melissa,Richardson,Langford,BC,British Columbia,Canada,North America
11133,Angela,Griffin,Lake Oswego,OR,Oregon,United States,North America
11134,Larry,Townsend,Perth,SA,South Australia,Australia,Pacific
11135,Marcus,Harris,Burlingame,CA,California,United States,North America
11136,Brianna,Morgan,Metchosin,BC,British Columbia,Canada,North America
11137,Jasmine,Taylor,Spokane,WA,Washington,United States,North America
11138,Lauren,Davis,Glendale,CA,California,United States,North America
11139,Tanya,Moreno,Cloverdale,SA,South Australia,Australia,Pacific
